岾,-1,-1,15000,名詞,サ変接続,*,*,*,*,岾,セン,セン,0/2,C0
拂,-1,-1,15000,名詞,サ変接続,*,*,*,*,拂,フツ,フツ,0/2,C0
棆,-1,-1,15000,名詞,サ変接続,*,*,*,*,棆,リン,リン,0/2,C0
坏,-1,-1,15000,名詞,サ変接続,*,*,*,*,坏,ハイ,ハイ,0/2,C0
嵓,-1,-1,15000,名詞,サ変接続,*,*,*,*,嵓,ダン,ダン,0/2,C0
竒,-1,-1,15000,名詞,サ変接続,*,*,*,*,竒,キ,キ,0/1,C0
几,-1,-1,15000,名詞,サ変接続,*,*,*,*,几,キ,キ,0/1,C0
巨,-1,-1,15000,名詞,サ変接続,*,*,*,*,巨,キョ,キョ,0/2,C0
萄,-1,-1,15000,名詞,サ変接続,*,*,*,*,萄,ドー,ドー,0/2,C0
⢇,-1,-1,15000,名詞,サ変接続,*,*,*,*,⢇,イチニーサンハチノテン,イチニーサンハチノテン,0/11,C0
踈,-1,-1,15000,名詞,サ変接続,*,*,*,*,踈,ソ,ソ,0/1,C0
⠜,-1,-1,15000,名詞,サ変接続,*,*,*,*,⠜,サンヨンゴーノテン,サンヨンゴーノテン,0/9,C0
披,-1,-1,15000,名詞,サ変接続,*,*,*,*,披,ヒ,ヒ,0/1,C0
炷,-1,-1,15000,名詞,サ変接続,*,*,*,*,炷,シュ,シュ,0/2,C0
俉,-1,-1,15000,名詞,サ変接続,*,*,*,*,俉,ゴ,ゴ,0/1,C0
灌,-1,-1,15000,名詞,サ変接続,*,*,*,*,灌,カン,カン,0/2,C0
穐,-1,-1,15000,名詞,サ変接続,*,*,*,*,穐,キ,キ,0/1,C0
籔,-1,-1,15000,名詞,サ変接続,*,*,*,*,籔,ソー,ソー,0/2,C0
槝,-1,-1,15000,名詞,サ変接続,*,*,*,*,槝,トー,トー,0/2,C0
佞,-1,-1,15000,名詞,サ変接続,*,*,*,*,佞,メイ,メイ,0/2,C0
兢,-1,-1,15000,名詞,サ変接続,*,*,*,*,兢,キョー,キョー,0/3,C0
翩,-1,-1,15000,名詞,サ変接続,*,*,*,*,翩,ヘン,ヘン,0/2,C0
践,-1,-1,15000,名詞,サ変接続,*,*,*,*,践,セン,セン,0/2,C0
嫻,-1,-1,15000,名詞,サ変接続,*,*,*,*,嫻,カン,カン,0/2,C0
昃,-1,-1,15000,名詞,サ変接続,*,*,*,*,昃,ソク,ソク,0/2,C0
膂,-1,-1,15000,名詞,サ変接続,*,*,*,*,膂,リョ,リョ,0/2,C0
予,-1,-1,15000,名詞,サ変接続,*,*,*,*,予,ヨ,ヨ,0/1,C0
岔,-1,-1,15000,名詞,サ変接続,*,*,*,*,岔,タ,タ,0/1,C0
耗,-1,-1,15000,名詞,サ変接続,*,*,*,*,耗,モー,モー,0/2,C0
暘,-1,-1,15000,名詞,サ変接続,*,*,*,*,暘,ヨー,ヨー,0/2,C0
犠,-1,-1,15000,名詞,サ変接続,*,*,*,*,犠,ギ,ギ,0/1,C0
∫,-1,-1,15000,名詞,サ変接続,*,*,*,*,∫,セキブンキゴー,セキブンキゴー,0/7,C0
肬,-1,-1,15000,名詞,サ変接続,*,*,*,*,肬,ユー,ユー,0/2,C0
厶,-1,-1,15000,名詞,サ変接続,*,*,*,*,厶,シ,シ,0/1,C0
隸,-1,-1,15000,名詞,サ変接続,*,*,*,*,隸,レイ,レイ,0/2,C0
毆,-1,-1,15000,名詞,サ変接続,*,*,*,*,毆,オー,オー,0/2,C0
轉,-1,-1,15000,名詞,サ変接続,*,*,*,*,轉,テン,テン,0/2,C0
剋,-1,-1,15000,名詞,サ変接続,*,*,*,*,剋,コク,コク,0/2,C0
ヌ,-1,-1,15000,名詞,サ変接続,*,*,*,*,ヌ,ヌ,ヌ,0/1,C0
魑,-1,-1,15000,名詞,サ変接続,*,*,*,*,魑,チ,チ,0/1,C0
菖,-1,-1,15000,名詞,サ変接続,*,*,*,*,菖,ショー,ショー,0/3,C0
勠,-1,-1,15000,名詞,サ変接続,*,*,*,*,勠,リク,リク,0/2,C0
廨,-1,-1,15000,名詞,サ変接続,*,*,*,*,廨,カイ,カイ,0/2,C0
葯,-1,-1,15000,名詞,サ変接続,*,*,*,*,葯,ヤク,ヤク,0/2,C0
遷,-1,-1,15000,名詞,サ変接続,*,*,*,*,遷,セン,セン,0/2,C0
都,-1,-1,15000,名詞,サ変接続,*,*,*,*,都,ト,ト,0/1,C0
掫,-1,-1,15000,名詞,サ変接続,*,*,*,*,掫,シュ,シュ,0/2,C0
斯,-1,-1,15000,名詞,サ変接続,*,*,*,*,斯,シ,シ,0/1,C0
澳,-1,-1,15000,名詞,サ変接続,*,*,*,*,澳,オー,オー,0/2,C0
圸,-1,-1,15000,名詞,サ変接続,*,*,*,*,圸,サン,サン,0/2,C0
鐺,-1,-1,15000,名詞,サ変接続,*,*,*,*,鐺,トー,トー,0/2,C0
煌,-1,-1,15000,名詞,サ変接続,*,*,*,*,煌,コー,コー,0/2,C0
乞,-1,-1,15000,名詞,サ変接続,*,*,*,*,乞,コツ,コツ,0/2,C0
鍠,-1,-1,15000,名詞,サ変接続,*,*,*,*,鍠,コー,コー,0/2,C0
俳,-1,-1,15000,名詞,サ変接続,*,*,*,*,俳,ハイ,ハイ,0/2,C0
雹,-1,-1,15000,名詞,サ変接続,*,*,*,*,雹,ハク,ハク,0/2,C0
飽,-1,-1,15000,名詞,サ変接続,*,*,*,*,飽,ホー,ホー,0/2,C0
會,-1,-1,15000,名詞,サ変接続,*,*,*,*,會,カイ,カイ,0/2,C0
侈,-1,-1,15000,名詞,サ変接続,*,*,*,*,侈,シ,シ,0/1,C0
貊,-1,-1,15000,名詞,サ変接続,*,*,*,*,貊,ハク,ハク,0/2,C0
榜,-1,-1,15000,名詞,サ変接続,*,*,*,*,榜,ボー,ボー,0/2,C0
ア,-1,-1,15000,名詞,サ変接続,*,*,*,*,ア,ア,ア,0/1,C0
餧,-1,-1,15000,名詞,サ変接続,*,*,*,*,餧,イ,イ,0/1,C0
┯,-1,-1,15000,名詞,サ変接続,*,*,*,*,┯,ヨコフトシタホソ,ヨコフトシタホソ,0/8,C0
馼,-1,-1,15000,名詞,サ変接続,*,*,*,*,馼,ブン,ブン,0/2,C0
х,-1,-1,15000,名詞,サ変接続,*,*,*,*,х,ハーゴ,ハーゴ,0/3,C0
蹉,-1,-1,15000,名詞,サ変接続,*,*,*,*,蹉,サ,サ,0/1,C0
聹,-1,-1,15000,名詞,サ変接続,*,*,*,*,聹,デイ,デイ,0/2,C0
歛,-1,-1,15000,名詞,サ変接続,*,*,*,*,歛,カン,カン,0/2,C0
